,field count,non empty count,data types
formVideos.workoutVideos.2.instructors.stroke.thumbnailImage.key,39,39,str
formVideos.workoutVideos.2.instructors.stroke.thumbnailUri,39,39,str
formVideos.workoutVideos.2.instructors.strokeId,39,39,int
formVideos.workoutVideos.2.intensityIconUrl,39,0,NoneType
formVideos.workoutVideos.2.intensityLevel,39,0,NoneType
formVideos.workoutVideos.2.intensityText,39,0,NoneType
formVideos.workoutVideos.2.isCanceled,39,0,bool
formVideos.workoutVideos.2.isLive,39,0,bool
formVideos.workoutVideos.2.liveBodyBroadcastTime,39,0,NoneType
formVideos.workoutVideos.2.location,39,39,str
formVideos.workoutVideos.2.locationShortName,39,39,str
formVideos.workoutVideos.2.maxRhythm,39,0,NoneType
formVideos.workoutVideos.2.mediaSources.0.audioTracks.0.duration,39,39,int
formVideos.workoutVideos.2.mediaSources.0.audioTracks.0.language,39,39,str
formVideos.workoutVideos.2.mediaSources.0.audioTracks.0.name,39,39,str
formVideos.workoutVideos.2.mediaSources.0.audioTracks.0.primary,39,39,bool
formVideos.workoutVideos.2.mediaSources.0.mimeType,39,39,str
formVideos.workoutVideos.2.mediaSources.0.providerName,39,39,str
formVideos.workoutVideos.2.mediaSources.0.textTracks.0.language,39,39,str
formVideos.workoutVideos.2.mediaSources.0.textTracks.0.name,39,39,str
formVideos.workoutVideos.2.mediaSources.0.textTracks.0.type,39,39,str
formVideos.workoutVideos.2.mediaSources.0.uri,39,39,str
formVideos.workoutVideos.2.mediaSources.1.audioTracks.0.duration,39,39,int
formVideos.workoutVideos.2.mediaSources.1.audioTracks.0.language,39,39,str
formVideos.workoutVideos.2.mediaSources.1.audioTracks.0.name,39,39,str
formVideos.workoutVideos.2.mediaSources.1.audioTracks.0.primary,39,39,bool
formVideos.workoutVideos.2.mediaSources.1.mimeType,39,39,str
formVideos.workoutVideos.2.mediaSources.1.providerName,39,39,str
formVideos.workoutVideos.2.mediaSources.1.textTracks.0.language,39,39,str
formVideos.workoutVideos.2.mediaSources.1.textTracks.0.name,39,39,str
formVideos.workoutVideos.2.mediaSources.1.textTracks.0.type,39,39,str
formVideos.workoutVideos.2.mediaSources.1.uri,39,39,str
formVideos.workoutVideos.2.name,39,39,str
formVideos.workoutVideos.2.posterUri,39,2,"NoneType, str"
formVideos.workoutVideos.2.publish,39,39,bool
formVideos.workoutVideos.2.recommendationType,39,0,NoneType
formVideos.workoutVideos.2.targetDistance,39,0,NoneType
formVideos.workoutVideos.2.thumbnailUri,39,2,"NoneType, str"
formVideos.workoutVideos.2.type,39,39,str
formVideos.workoutVideos.2.videoDisplayTime,39,39,str
formVideos.workoutVideos.3.brightcoveVideoId,12,12,str
formVideos.workoutVideos.3.categoryId,12,12,int
formVideos.workoutVideos.3.closedCaptions.0.language,12,12,str
formVideos.workoutVideos.3.closedCaptions.0.mimeType,12,12,str
formVideos.workoutVideos.3.closedCaptions.0.type,12,12,str
formVideos.workoutVideos.3.closedCaptions.0.uri,12,12,str
formVideos.workoutVideos.3.durationBody,12,12,int
formVideos.workoutVideos.3.enabled,12,12,bool
formVideos.workoutVideos.3.exercises.0.id,12,12,str
formVideos.workoutVideos.3.exercises.0.key,12,12,str
formVideos.workoutVideos.3.exercises.0.name,12,12,str
formVideos.workoutVideos.3.exercises.0.tagGroupId,12,12,str
formVideos.workoutVideos.3.exercises.0.tagGroupKey,12,12,str
formVideos.workoutVideos.3.exercises.0.tagGroupName,12,12,str
formVideos.workoutVideos.3.explicitLyrics,12,0,bool
formVideos.workoutVideos.3.id,12,12,int
formVideos.workoutVideos.3.image.bucket,2,2,str
formVideos.workoutVideos.3.image.imageServerBaseUrl,2,2,str
formVideos.workoutVideos.3.image.key,2,2,str
formVideos.workoutVideos.3.instructors.seat1,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat1Id,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat2,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat2Id,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat3,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat3Id,12,0,NoneType
formVideos.workoutVideos.3.instructors.stroke.cardImage,12,0,NoneType
formVideos.workoutVideos.3.instructors.stroke.cardUri,12,0,NoneType
formVideos.workoutVideos.3.instructors.stroke.familiarName,12,12,str
formVideos.workoutVideos.3.instructors.stroke.id,12,12,int
formVideos.workoutVideos.3.instructors.stroke.instructorName,12,12,str
formVideos.workoutVideos.3.instructors.stroke.name,12,12,str
formVideos.workoutVideos.3.instructors.stroke.thumbnailImage.bucket,12,12,str
formVideos.workoutVideos.3.instructors.stroke.thumbnailImage.imageServerBaseUrl,12,12,str
formVideos.workoutVideos.3.instructors.stroke.thumbnailImage.key,12,12,str
formVideos.workoutVideos.3.instructors.stroke.thumbnailUri,12,12,str
formVideos.workoutVideos.3.instructors.strokeId,12,12,int
formVideos.workoutVideos.3.intensityIconUrl,12,0,NoneType
formVideos.workoutVideos.3.intensityLevel,12,0,NoneType
formVideos.workoutVideos.3.intensityText,12,0,NoneType
formVideos.workoutVideos.3.isCanceled,12,0,bool
formVideos.workoutVideos.3.isLive,12,0,bool
formVideos.workoutVideos.3.liveBodyBroadcastTime,12,0,NoneType
formVideos.workoutVideos.3.location,12,12,str
formVideos.workoutVideos.3.locationShortName,12,12,str
formVideos.workoutVideos.3.maxRhythm,12,0,NoneType
formVideos.workoutVideos.3.mediaSources.0.audioTracks.0.duration,12,12,int
formVideos.workoutVideos.3.mediaSources.0.audioTracks.0.language,12,12,str
formVideos.workoutVideos.3.mediaSources.0.audioTracks.0.name,12,12,str
formVideos.workoutVideos.3.mediaSources.0.audioTracks.0.primary,12,12,bool
formVideos.workoutVideos.3.mediaSources.0.mimeType,12,12,str
formVideos.workoutVideos.3.mediaSources.0.providerName,12,12,str
formVideos.workoutVideos.3.mediaSources.0.textTracks.0.language,12,12,str
formVideos.workoutVideos.3.mediaSources.0.textTracks.0.name,12,12,str
formVideos.workoutVideos.3.mediaSources.0.textTracks.0.type,12,12,str
formVideos.workoutVideos.3.mediaSources.0.uri,12,12,str
formVideos.workoutVideos.3.mediaSources.1.audioTracks.0.duration,12,12,int
formVideos.workoutVideos.3.mediaSources.1.audioTracks.0.language,12,12,str
formVideos.workoutVideos.3.mediaSources.1.audioTracks.0.name,12,12,str
formVideos.workoutVideos.3.mediaSources.1.audioTracks.0.primary,12,12,bool
formVideos.workoutVideos.3.mediaSources.1.mimeType,12,12,str
formVideos.workoutVideos.3.mediaSources.1.providerName,12,12,str
formVideos.workoutVideos.3.mediaSources.1.textTracks.0.language,12,12,str
formVideos.workoutVideos.3.mediaSources.1.textTracks.0.name,12,12,str
formVideos.workoutVideos.3.mediaSources.1.textTracks.0.type,12,12,str
formVideos.workoutVideos.3.mediaSources.1.uri,12,12,str
formVideos.workoutVideos.3.name,12,12,str
formVideos.workoutVideos.3.posterUri,12,2,"NoneType, str"
formVideos.workoutVideos.3.publish,12,12,bool
formVideos.workoutVideos.3.recommendationType,12,0,NoneType
formVideos.workoutVideos.3.targetDistance,12,0,NoneType
formVideos.workoutVideos.3.thumbnailUri,12,2,"NoneType, str"
formVideos.workoutVideos.3.type,12,12,str
formVideos.workoutVideos.3.videoDisplayTime,12,12,str
formVideos.workoutVideos.4.brightcoveVideoId,3,3,str
formVideos.workoutVideos.4.categoryId,3,3,int
formVideos.workoutVideos.4.closedCaptions.0.language,3,3,str
formVideos.workoutVideos.4.closedCaptions.0.mimeType,3,3,str
formVideos.workoutVideos.4.closedCaptions.0.type,3,3,str
formVideos.workoutVideos.4.closedCaptions.0.uri,3,3,str
formVideos.workoutVideos.4.durationBody,3,3,int
formVideos.workoutVideos.4.enabled,3,3,bool
formVideos.workoutVideos.4.exercises.0.id,3,3,str
formVideos.workoutVideos.4.exercises.0.key,3,3,str
formVideos.workoutVideos.4.exercises.0.name,3,3,str
formVideos.workoutVideos.4.exercises.0.tagGroupId,3,3,str
formVideos.workoutVideos.4.exercises.0.tagGroupKey,3,3,str
