,field count,non empty count,data types
intervals.8.exercises.1.tagGroupId,11,11,str
intervals.8.exercises.1.tagGroupKey,11,11,str
intervals.8.exercises.1.tagGroupName,11,11,str
intervals.8.exercises.2.id,5,5,str
intervals.8.exercises.2.key,5,5,str
intervals.8.exercises.2.name,5,5,str
intervals.8.exercises.2.tagGroupId,5,5,str
intervals.8.exercises.2.tagGroupKey,5,5,str
intervals.8.exercises.2.tagGroupName,5,5,str
intervals.8.exercises.3.id,2,2,str
intervals.8.exercises.3.key,2,2,str
intervals.8.exercises.3.name,2,2,str
intervals.8.exercises.3.tagGroupId,2,2,str
intervals.8.exercises.3.tagGroupKey,2,2,str
intervals.8.exercises.3.tagGroupName,2,2,str
intervals.8.id,33,33,str
intervals.8.mets,25,25,str
intervals.8.type,33,33,str
intervals.9.description,23,23,str
intervals.9.duration,23,23,int
intervals.9.exercises.0.id,10,10,str
intervals.9.exercises.0.key,10,10,str
intervals.9.exercises.0.name,10,10,str
intervals.9.exercises.0.tagGroupId,10,10,str
intervals.9.exercises.0.tagGroupKey,10,10,str
intervals.9.exercises.0.tagGroupName,10,10,str
intervals.9.id,23,23,str
intervals.9.mets,10,10,str
intervals.9.type,23,23,str
isCanceled,5833,0,bool
isLive,5833,0,bool
liveBodyBroadcastTime,5833,0,NoneType
location,5833,5833,str
locationShortName,5833,5833,str
maxRhythm,5833,1184,"NoneType, int"
mediaSources.0.audioTracks.0.duration,5832,5832,int
mediaSources.0.audioTracks.0.language,5832,5832,str
mediaSources.0.audioTracks.0.name,5832,5832,str
mediaSources.0.audioTracks.0.primary,5832,2148,bool
mediaSources.0.audioTracks.1.duration,25,25,int
mediaSources.0.audioTracks.1.language,25,25,str
mediaSources.0.audioTracks.1.name,25,25,str
mediaSources.0.audioTracks.1.primary,25,4,bool
mediaSources.0.audioTracks.2.duration,21,21,int
mediaSources.0.audioTracks.2.language,21,21,str
mediaSources.0.audioTracks.2.name,21,21,str
mediaSources.0.audioTracks.2.primary,21,2,bool
mediaSources.0.audioTracks.3.duration,19,19,int
mediaSources.0.audioTracks.3.language,19,19,str
mediaSources.0.audioTracks.3.name,19,19,str
mediaSources.0.audioTracks.3.primary,19,19,bool
mediaSources.0.mimeType,5833,5833,str
mediaSources.0.providerName,5833,5833,str
mediaSources.0.textTracks.0.language,4119,4119,str
mediaSources.0.textTracks.0.name,4119,4119,str
mediaSources.0.textTracks.0.type,4119,4119,str
mediaSources.0.textTracks.1.language,51,51,str
mediaSources.0.textTracks.1.name,51,51,str
mediaSources.0.textTracks.1.type,51,51,str
mediaSources.0.uri,5833,5833,str
mediaSources.1.audioTracks.0.duration,5640,5640,int
mediaSources.1.audioTracks.0.language,5640,5640,str
mediaSources.1.audioTracks.0.name,5640,5640,str
mediaSources.1.audioTracks.0.primary,5640,5379,bool
mediaSources.1.audioTracks.1.language,15,15,str
mediaSources.1.audioTracks.1.name,15,15,str
mediaSources.1.audioTracks.1.primary,15,0,bool
mediaSources.1.audioTracks.2.language,15,15,str
mediaSources.1.audioTracks.2.name,15,15,str
mediaSources.1.audioTracks.2.primary,15,0,bool
mediaSources.1.audioTracks.3.language,15,15,str
mediaSources.1.audioTracks.3.name,15,15,str
mediaSources.1.audioTracks.3.primary,15,0,bool
mediaSources.1.audioTracks.4.language,2,2,str
mediaSources.1.audioTracks.4.name,2,2,str
mediaSources.1.audioTracks.4.primary,2,0,bool
mediaSources.1.mimeType,5642,5642,str
mediaSources.1.providerName,5642,5642,str
mediaSources.1.textTracks.0.language,4045,4045,str
mediaSources.1.textTracks.0.name,4045,4045,str
mediaSources.1.textTracks.0.type,4045,4045,str
mediaSources.1.textTracks.1.language,39,39,str
mediaSources.1.textTracks.1.name,39,39,str
mediaSources.1.textTracks.1.type,39,39,str
mediaSources.1.uri,5642,5642,str
meters,5833,10,"NoneType, int"
musicGenre,5253,5253,str
name,5833,5833,str
playlist,576,0,NoneType
playlist.0.album,3786,3777,str
playlist.0.artist,3799,3799,str
playlist.0.duration_ms,3786,3786,int
playlist.0.explicitLyrics,1309,154,bool
playlist.0.isrc,3779,3779,str
playlist.0.song,3799,3799,str
playlist.1.album,3613,3605,str
playlist.1.artist,3621,3621,str
playlist.1.duration_ms,3613,3613,int
playlist.1.explicitLyrics,1269,159,bool
playlist.1.isrc,3607,3607,str
playlist.1.song,3621,3621,str
playlist.10.album,75,74,str
playlist.10.artist,75,75,str
playlist.10.duration_ms,75,75,int
playlist.10.explicitLyrics,39,4,bool
playlist.10.isrc,74,74,str
playlist.10.song,75,75,str
playlist.11.album,52,51,str
playlist.11.artist,52,52,str
playlist.11.duration_ms,52,52,int
playlist.11.explicitLyrics,27,3,bool
playlist.11.isrc,51,51,str
playlist.11.song,52,52,str
playlist.12.album,38,38,str
playlist.12.artist,38,38,str
playlist.12.duration_ms,38,38,int
playlist.12.explicitLyrics,18,2,bool
playlist.12.isrc,38,38,str
playlist.12.song,38,38,str
playlist.13.album,20,20,str
playlist.13.artist,20,20,str
playlist.13.duration_ms,20,20,int
playlist.13.explicitLyrics,9,0,bool
playlist.13.isrc,20,20,str
playlist.13.song,20,20,str
playlist.14.album,9,9,str
playlist.14.artist,9,9,str
playlist.14.duration_ms,9,9,int
playlist.14.explicitLyrics,5,0,bool
playlist.14.isrc,9,9,str
playlist.14.song,9,9,str
playlist.15.album,6,6,str
playlist.15.artist,6,6,str
playlist.15.duration_ms,6,6,int
playlist.15.explicitLyrics,5,0,bool
playlist.15.isrc,6,6,str
playlist.15.song,6,6,str
playlist.16.album,4,4,str
playlist.16.artist,4,4,str
playlist.16.duration_ms,4,4,int
playlist.16.explicitLyrics,4,0,bool
playlist.16.isrc,4,4,str
playlist.16.song,4,4,str
playlist.17.album,3,3,str
playlist.17.artist,3,3,str
playlist.17.duration_ms,3,3,int
playlist.17.explicitLyrics,3,0,bool
playlist.17.isrc,3,3,str
playlist.17.song,3,3,str
playlist.18.album,1,1,str
playlist.18.artist,1,1,str
playlist.18.duration_ms,1,1,int
playlist.18.explicitLyrics,1,0,bool
playlist.18.isrc,1,1,str
playlist.18.song,1,1,str
playlist.2.album,3005,2999,str
playlist.2.artist,3012,3012,str
playlist.2.duration_ms,3005,3005,int
playlist.2.explicitLyrics,1109,123,bool
playlist.2.isrc,3001,3001,str
playlist.2.song,3012,3012,str
playlist.3.album,2473,2468,str
playlist.3.artist,2477,2477,str
playlist.3.duration_ms,2473,2473,int
playlist.3.explicitLyrics,947,125,bool
playlist.3.isrc,2470,2470,str
playlist.3.song,2477,2477,str
playlist.4.album,1888,1885,str
playlist.4.artist,1891,1891,str
playlist.4.duration_ms,1888,1888,int
playlist.4.explicitLyrics,731,78,bool
playlist.4.isrc,1885,1885,str
playlist.4.song,1891,1891,str
playlist.5.album,1388,1384,str
playlist.5.artist,1390,1390,str
playlist.5.duration_ms,1388,1388,int
playlist.5.explicitLyrics,567,49,bool
playlist.5.isrc,1387,1387,str
playlist.5.song,1390,1390,str
playlist.6.album,786,785,str
playlist.6.artist,788,788,str
playlist.6.duration_ms,786,786,int
playlist.6.explicitLyrics,347,40,bool
playlist.6.isrc,785,785,str
playlist.6.song,788,788,str
playlist.7.album,453,452,str
playlist.7.artist,455,455,str
playlist.7.duration_ms,453,453,int
playlist.7.explicitLyrics,209,12,bool
playlist.7.isrc,452,452,str
playlist.7.song,455,455,str
playlist.8.album,307,305,str
playlist.8.artist,308,308,str
playlist.8.duration_ms,307,307,int
playlist.8.explicitLyrics,149,20,bool
playlist.8.isrc,306,306,str
playlist.8.song,308,308,str
playlist.9.album,163,162,str
playlist.9.artist,164,164,str
playlist.9.duration_ms,163,163,int
playlist.9.explicitLyrics,79,13,bool
playlist.9.isrc,162,162,str
playlist.9.song,164,164,str
playlistSummary,5833,3626,"NoneType, str"
posterUri,5833,5833,str
programElementId,5833,0,NoneType
programId,5833,0,NoneType
publish,5833,5833,bool
royaltyFreeMusic,5833,33,bool
shareUrl,5833,5833,str
targetDistance,10,10,int
thumbnailUri,5833,5833,str
videoDateTime,5833,5833,str
videoDisplayTime,5833,5833,str
